regionId;regionName;partyId;partyName;candidateId;candidateName;col6
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;101;Николай Денков Денков;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;102;Борис Богданов Джолев;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;103;Димитрина Любомирова Хаджиева-Недина;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;104;Ваня Христова Кромбоа;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;105;Димитър Кирилов Парасков;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;106;Янко Митков Христов;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;107;Лили Николаева Кочаркова;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;108;Мария Иванова Тенчева;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;109;Ивайло Емилов Димчев;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;110;Сейди Елзеров Абдишев;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;111;Цветелин Иванов Вълков;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;112;Димитър Петров Катърджиев;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;113;Димитър Йорданов Моралийски;
1;01. БЛАГОЕВГРАД;7;КОАЛИЦИЯ ПРОДЪЛЖАВАМЕ ПРОМЯНАТА – ДЕМОКРАТИЧНА БЪЛГАРИЯ;114;Полина Йорданова Сатиева;
